#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	PLAU	9606.ENSP00000323929	9606.ENSP00000361850	0	0	0	0	0	0.134	0	0.455	0.507
A2M	SERPINA5	9606.ENSP00000323929	9606.ENSP00000333203	0	0	0	0	0.109	0	0	0.483	0.520
A2M	AGT	9606.ENSP00000323929	9606.ENSP00000355627	0	0	0	0	0.241	0	0	0.401	0.525
A2M	F3	9606.ENSP00000323929	9606.ENSP00000334145	0	0	0	0	0	0	0	0.529	0.529
A2M	FGG	9606.ENSP00000323929	9606.ENSP00000336829	0	0	0	0	0.183	0	0	0.468	0.546
A2M	SHBG	9606.ENSP00000323929	9606.ENSP00000369816	0	0	0	0	0.062	0.192	0	0.452	0.548
A2M	FURIN	9606.ENSP00000323929	9606.ENSP00000483552	0	0	0	0	0	0	0	0.551	0.552
A2M	F7	9606.ENSP00000323929	9606.ENSP00000364731	0	0	0	0	0.148	0.134	0	0.454	0.562
A2M	C1S	9606.ENSP00000323929	9606.ENSP00000385035	0	0	0	0	0.119	0.134	0	0.476	0.566
A2M	C1R	9606.ENSP00000323929	9606.ENSP00000438615	0	0	0	0	0.142	0.134	0	0.477	0.577
A2M	CFB	9606.ENSP00000323929	9606.ENSP00000416561	0	0	0	0	0.122	0.134	0	0.504	0.589
A2M	TNF	9606.ENSP00000323929	9606.ENSP00000398698	0	0	0	0	0	0	0	0.603	0.603
A2M	FN1	9606.ENSP00000323929	9606.ENSP00000346839	0	0	0	0	0.112	0.058	0	0.566	0.605
A2M	TF	9606.ENSP00000323929	9606.ENSP00000385834	0	0	0	0	0.149	0	0	0.591	0.638
A2M	LDLR	9606.ENSP00000323929	9606.ENSP00000454071	0	0	0	0	0.064	0.110	0	0.620	0.656
A2M	GC	9606.ENSP00000323929	9606.ENSP00000421725	0	0	0	0	0.145	0.111	0	0.605	0.674
A2M	INS	9606.ENSP00000323929	9606.ENSP00000380432	0	0	0	0	0	0	0	0.689	0.689
A2M	APOA2	9606.ENSP00000323929	9606.ENSP00000356969	0	0	0	0	0.104	0.154	0	0.636	0.700
A2M	MMP12	9606.ENSP00000323929	9606.ENSP00000458585	0	0	0	0	0.074	0	0.600	0.260	0.701
A2M	MMP9	9606.ENSP00000323929	9606.ENSP00000361405	0	0	0	0	0	0	0.600	0.671	0.862
A2M	IL6	9606.ENSP00000323929	9606.ENSP00000385675	0	0	0	0	0	0	0	0.875	0.875
A2M	CTSB	9606.ENSP00000323929	9606.ENSP00000345672	0	0	0	0	0.098	0.213	0	0.842	0.878
A2M	SERPINA1	9606.ENSP00000323929	9606.ENSP00000416066	0	0	0	0	0.121	0	0	0.877	0.888
A2M	SERPINC1	9606.ENSP00000323929	9606.ENSP00000356671	0	0	0	0	0.166	0	0	0.880	0.895
A2M	IL10	9606.ENSP00000323929	9606.ENSP00000412237	0	0	0	0	0	0.632	0	0.841	0.939
A2M	HSPA5	9606.ENSP00000323929	9606.ENSP00000324173	0	0	0	0	0	0.669	0	0.994	0.998
AADAT	DLD	9606.ENSP00000423190	9606.ENSP00000205402	0	0	0	0	0.063	0	0.900	0.062	0.904
AADAT	CRYM	9606.ENSP00000423190	9606.ENSP00000219599	0.266	0	0	0	0	0	0	0.443	0.573
AADAT	DECR1	9606.ENSP00000423190	9606.ENSP00000220764	0	0	0	0	0.062	0	0	0.545	0.555
AADAT	GOT2	9606.ENSP00000423190	9606.ENSP00000245206	0.094	0	0	0	0.097	0	0	0.696	0.729
AADAT	KYNU	9606.ENSP00000423190	9606.ENSP00000264170	0	0	0	0	0.065	0	0.900	0.827	0.982
AADAT	QDPR	9606.ENSP00000423190	9606.ENSP00000281243	0	0	0	0	0.062	0	0	0.463	0.475
AADAT	ADH5	9606.ENSP00000423190	9606.ENSP00000296412	0	0	0	0	0.062	0	0	0.410	0.422
AADAT	AGXT	9606.ENSP00000423190	9606.ENSP00000302620	0.163	0	0	0	0.109	0	0	0.268	0.406
AADAT	GLUL	9606.ENSP00000423190	9606.ENSP00000307900	0.159	0	0	0	0.062	0	0	0.319	0.416
AADAT	PIPOX	9606.ENSP00000423190	9606.ENSP00000317721	0.048	0	0	0	0.065	0	0	0.392	0.412
AADAT	BCAT2	9606.ENSP00000423190	9606.ENSP00000322991	0.157	0	0	0	0.088	0	0	0.438	0.530
AADAT	GOT1	9606.ENSP00000423190	9606.ENSP00000359539	0.094	0	0	0	0.145	0.128	0	0.559	0.662
AADAT	CTH	9606.ENSP00000423190	9606.ENSP00000359976	0.075	0	0	0	0.112	0	0	0.426	0.487
AADAT	AASS	9606.ENSP00000423190	9606.ENSP00000377040	0	0	0	0	0.167	0	0	0.618	0.668
AADAT	QPRT	9606.ENSP00000423190	9606.ENSP00000378782	0	0	0	0	0.064	0	0	0.733	0.739
AADAT	ABAT	9606.ENSP00000423190	9606.ENSP00000379845	0.166	0	0	0	0.065	0	0	0.318	0.422
AADAT	ALDH7A1	9606.ENSP00000423190	9606.ENSP00000387123	0	0	0	0	0.090	0	0.900	0.196	0.920
AADAT	PDE10A	9606.ENSP00000423190	9606.ENSP00000438284	0	0	0	0	0.065	0	0	0.693	0.701
AADAT	BCAT1	9606.ENSP00000423190	9606.ENSP00000443459	0.157	0	0	0	0.088	0	0	0.666	0.721
AARS2	UQCRC1	9606.ENSP00000244571	9606.ENSP00000203407	0.072	0	0	0	0.075	0.184	0	0.303	0.446
AARS2	DLD	9606.ENSP00000244571	9606.ENSP00000205402	0.052	0	0	0	0.090	0	0	0.480	0.513
AARS2	MTFMT	9606.ENSP00000244571	9606.ENSP00000220058	0.183	0	0	0	0	0	0	0.492	0.567
AARS2	WARS2	9606.ENSP00000244571	9606.ENSP00000235521	0.074	0	0	0	0.145	0.069	0	0.754	0.794
AARS2	CHEK1	9606.ENSP00000244571	9606.ENSP00000388648	0	0	0	0	0.062	0	0	0.398	0.411
AARS2	H6PD	9606.ENSP00000244571	9606.ENSP00000473348	0.303	0	0	0	0.099	0	0	0.143	0.414
AARS2	HSP90AA1	9606.ENSP00000244571	9606.ENSP00000335153	0	0	0	0	0.062	0.162	0	0.321	0.419
AARS2	NOS3	9606.ENSP00000244571	9606.ENSP00000297494	0	0	0	0	0.101	0	0	0.389	0.427
AARS2	GMPS	9606.ENSP00000244571	9606.ENSP00000419851	0	0	0	0	0.359	0	0	0.156	0.435
AARS2	NDUFA13	9606.ENSP00000244571	9606.ENSP00000423673	0	0	0	0	0.072	0	0	0.433	0.451
AARS2	ALDH18A1	9606.ENSP00000244571	9606.ENSP00000360268	0.328	0	0	0	0.126	0	0	0.143	0.452
AARS2	AFG3L2	9606.ENSP00000244571	9606.ENSP00000269143	0.078	0	0.282	0	0.163	0	0	0.139	0.459
AARS2	TSHR	9606.ENSP00000244571	9606.ENSP00000441235	0	0	0	0	0	0	0	0.460	0.459
AARS2	ALKBH2	9606.ENSP00000244571	9606.ENSP00000398181	0	0	0	0	0.063	0	0	0.454	0.466
AARS2	PHGDH	9606.ENSP00000244571	9606.ENSP00000358417	0.043	0	0	0	0.063	0	0	0.467	0.480
AARS2	HSP90AB1	9606.ENSP00000244571	9606.ENSP00000360609	0	0	0	0	0.062	0.162	0	0.415	0.500
AARS2	PSAT1	9606.ENSP00000244571	9606.ENSP00000365773	0	0	0	0	0.049	0.213	0	0.466	0.565
AARS2	MARS2	9606.ENSP00000244571	9606.ENSP00000282276	0.077	0	0	0	0.127	0	0	0.604	0.653
AARS2	NARS2	9606.ENSP00000244571	9606.ENSP00000281038	0.083	0	0	0	0.178	0.056	0	0.691	0.750
AARS2	PARS2	9606.ENSP00000244571	9606.ENSP00000360327	0	0	0	0	0.239	0	0	0.707	0.768
AARS2	CARS2	9606.ENSP00000244571	9606.ENSP00000257347	0.072	0	0	0	0.456	0	0	0.601	0.781
AARS2	EARS2	9606.ENSP00000244571	9606.ENSP00000395196	0.077	0	0	0	0.144	0.056	0	0.743	0.783
AARS2	TARS2	9606.ENSP00000244571	9606.ENSP00000358060	0	0	0	0	0.309	0	0	0.770	0.834
AARS2	FARS2	9606.ENSP00000244571	9606.ENSP00000316335	0.070	0	0	0	0.167	0	0	0.821	0.849
AARS2	YARS2	9606.ENSP00000244571	9606.ENSP00000320658	0.132	0	0	0	0.222	0.056	0	0.809	0.862
AARS2	DARS2	9606.ENSP00000244571	9606.ENSP00000355086	0.185	0	0.219	0	0.184	0	0	0.792	0.877
AARS2	LARS2	9606.ENSP00000244571	9606.ENSP00000408576	0.135	0	0	0	0.270	0	0	0.855	0.900
AARS2	IARS2	9606.ENSP00000244571	9606.ENSP00000355889	0.077	0	0	0	0.266	0.128	0	0.880	0.920
AASS	OTC	9606.ENSP00000377040	9606.ENSP00000039007	0	0	0	0	0.146	0	0	0.547	0.596
AASS	ASNS	9606.ENSP00000377040	9606.ENSP00000175506	0	0	0	0	0.167	0	0	0.380	0.461
AASS	SDS	9606.ENSP00000377040	9606.ENSP00000257549	0.077	0	0	0	0.109	0	0	0.536	0.585
AASS	HAL	9606.ENSP00000377040	9606.ENSP00000261208	0	0	0	0	0.062	0	0	0.560	0.569
AASS	ARG2	9606.ENSP00000377040	9606.ENSP00000261783	0.185	0	0	0	0.062	0	0	0.451	0.544
AASS	DLAT	9606.ENSP00000377040	9606.ENSP00000280346	0	0	0	0	0.641	0	0	0	0.641
AASS	NAGS	9606.ENSP00000377040	9606.ENSP00000293404	0	0	0	0	0.150	0	0	0.432	0.496
AASS	PDHA2	9606.ENSP00000377040	9606.ENSP00000295266	0.043	0	0	0	0.448	0	0	0.085	0.474
AASS	IDH3A	9606.ENSP00000377040	9606.ENSP00000299518	0	0	0	0	0.229	0	0	0.560	0.646
AASS	FASN	9606.ENSP00000377040	9606.ENSP00000304592	0.286	0	0	0	0.064	0	0	0.189	0.410
AASS	ASL	9606.ENSP00000377040	9606.ENSP00000307188	0	0	0	0	0.194	0	0	0.359	0.461
AASS	PDHB	9606.ENSP00000377040	9606.ENSP00000307241	0	0	0	0	0.647	0	0	0.047	0.649
AASS	GLS2	9606.ENSP00000377040	9606.ENSP00000310447	0	0	0	0	0.063	0	0	0.422	0.436
AASS	PIPOX	9606.ENSP00000377040	9606.ENSP00000317721	0.130	0	0	0	0.108	0	0	0.567	0.634
AASS	BCAT2	9606.ENSP00000377040	9606.ENSP00000322991	0	0	0	0	0.081	0	0	0.413	0.437
AASS	TAT	9606.ENSP00000377040	9606.ENSP00000348234	0.069	0	0	0	0.080	0	0	0.355	0.400
AASS	ARG1	9606.ENSP00000377040	9606.ENSP00000349446	0.185	0	0	0	0.065	0	0	0.472	0.563
AASS	SLC25A29	9606.ENSP00000377040	9606.ENSP00000352167	0	0	0	0	0.064	0	0	0.407	0.421
AASS	OAT	9606.ENSP00000377040	9606.ENSP00000357838	0.060	0	0	0	0.183	0.121	0	0.408	0.547
AASS	GOT1	9606.ENSP00000377040	9606.ENSP00000359539	0	0	0	0	0.087	0	0	0.370	0.400
AASS	ALDH18A1	9606.ENSP00000377040	9606.ENSP00000360268	0	0	0	0	0.089	0	0	0.707	0.722
AASS	ASS1	9606.ENSP00000377040	9606.ENSP00000361471	0.043	0	0	0	0.359	0	0	0.492	0.661
AASS	GNMT	9606.ENSP00000377040	9606.ENSP00000361894	0	0	0	0	0.097	0	0	0.365	0.402
AASS	SRM	9606.ENSP00000377040	9606.ENSP00000366156	0.219	0.463	0	0	0.145	0	0	0.441	0.772
AASS	PDHA1	9606.ENSP00000377040	9606.ENSP00000369134	0.043	0	0	0	0.448	0	0	0.085	0.474
AASS	SMS	9606.ENSP00000377040	9606.ENSP00000385746	0.219	0	0	0	0.097	0	0	0.243	0.419
AASS	ALDH7A1	9606.ENSP00000377040	9606.ENSP00000387123	0.074	0	0	0	0.645	0	0.900	0.256	0.972
ABAT	CKM	9606.ENSP00000379845	9606.ENSP00000221476	0	0	0	0	0.062	0.400	0	0.059	0.424
ABAT	OGDH	9606.ENSP00000379845	9606.ENSP00000222673	0	0	0	0	0.049	0	0	0.504	0.508
ABAT	AGXT2	9606.ENSP00000379845	9606.ENSP00000231420	0	0	0	0.582	0.085	0.788	0.900	0.625	0.984
ABAT	EHHADH	9606.ENSP00000379845	9606.ENSP00000231887	0	0	0	0	0.062	0.101	0.900	0.261	0.929
ABAT	ODC1	9606.ENSP00000379845	9606.ENSP00000234111	0.055	0	0	0	0.052	0	0	0.531	0.544
ABAT	CAT	9606.ENSP00000379845	9606.ENSP00000241052	0	0	0	0	0.082	0.670	0	0.076	0.695
ABAT	ACADS	9606.ENSP00000379845	9606.ENSP00000242592	0.041	0	0	0	0	0	0.800	0.230	0.839
ABAT	FAAH	9606.ENSP00000379845	9606.ENSP00000243167	0	0	0	0	0.085	0	0	0.424	0.450
ABAT	GOT2	9606.ENSP00000379845	9606.ENSP00000245206	0	0	0	0	0.062	0.760	0	0.257	0.818
ABAT	ALDH1A2	9606.ENSP00000379845	9606.ENSP00000249750	0.053	0	0	0	0.110	0.562	0	0.187	0.659
ABAT	ACSS2	9606.ENSP00000379845	9606.ENSP00000253382	0	0	0	0	0.096	0	0.800	0.107	0.824
ABAT	ALDH3B2	9606.ENSP00000379845	9606.ENSP00000255084	0.053	0	0	0	0.110	0.200	0.900	0.117	0.929
ABAT	FABP4	9606.ENSP00000379845	9606.ENSP00000256104	0	0	0	0	0.062	0.524	0	0	0.534
ABAT	PEBP1	9606.ENSP00000379845	9606.ENSP00000261313	0	0	0	0	0.235	0.788	0	0.108	0.842
ABAT	ALDH2	9606.ENSP00000379845	9606.ENSP00000261733	0.053	0	0	0	0.110	0.562	0.900	0.235	0.966
ABAT	PPAT	9606.ENSP00000379845	9606.ENSP00000264220	0.047	0	0	0	0.062	0	0	0.683	0.692
ABAT	SI	9606.ENSP00000379845	9606.ENSP00000264382	0	0	0	0	0.063	0.499	0	0	0.510
ABAT	HIBADH	9606.ENSP00000379845	9606.ENSP00000265395	0	0	0	0	0.063	0	0.900	0.144	0.912
ABAT	CSAD	9606.ENSP00000379845	9606.ENSP00000267085	0.070	0	0	0	0.195	0.101	0	0.221	0.405
ABAT	SORD	9606.ENSP00000379845	9606.ENSP00000267814	0.160	0	0	0	0.063	0.679	0	0.195	0.769
ABAT	SOD1	9606.ENSP00000379845	9606.ENSP00000270142	0	0	0	0	0	0.726	0	0.071	0.734
ABAT	GLUD1	9606.ENSP00000379845	9606.ENSP00000277865	0.104	0	0	0	0.053	0	0	0.545	0.580
ABAT	GADL1	9606.ENSP00000379845	9606.ENSP00000282538	0.070	0	0	0	0.195	0.101	0.900	0.244	0.939
ABAT	AKR1B1	9606.ENSP00000379845	9606.ENSP00000285930	0	0	0	0	0.102	0.272	0	0.188	0.422
ABAT	SLC6A1	9606.ENSP00000379845	9606.ENSP00000287766	0	0	0	0	0.190	0	0	0.312	0.420
ABAT	PDXK	9606.ENSP00000379845	9606.ENSP00000291565	0	0	0	0	0.056	0.272	0	0.291	0.470
ABAT	FTCD	9606.ENSP00000379845	9606.ENSP00000291670	0.048	0	0	0	0.108	0	0	0.398	0.444
ABAT	FABP5	9606.ENSP00000379845	9606.ENSP00000297258	0	0	0	0	0.063	0.677	0	0.043	0.685
ABAT	ALDH1A1	9606.ENSP00000379845	9606.ENSP00000297785	0.053	0	0	0	0.110	0.562	0	0.187	0.659
ABAT	CKB	9606.ENSP00000379845	9606.ENSP00000299198	0	0	0	0	0.062	0.400	0	0.174	0.494
ABAT	AGXT	9606.ENSP00000379845	9606.ENSP00000302620	0.166	0	0	0	0.122	0.300	0	0.411	0.658
ABAT	DCXR	9606.ENSP00000379845	9606.ENSP00000303356	0	0	0	0	0.069	0.760	0	0	0.767
ABAT	GAA	9606.ENSP00000379845	9606.ENSP00000305692	0	0	0	0	0.063	0.499	0	0	0.510
ABAT	ASL	9606.ENSP00000379845	9606.ENSP00000307188	0	0	0	0	0.062	0	0	0.448	0.460
ABAT	GLUL	9606.ENSP00000379845	9606.ENSP00000307900	0.075	0	0	0	0.062	0	0.900	0.500	0.950
ABAT	AOC3	9606.ENSP00000379845	9606.ENSP00000312326	0.046	0	0	0	0.063	0	0	0.446	0.461
ABAT	MSRA	9606.ENSP00000379845	9606.ENSP00000313921	0	0	0	0	0.062	0.732	0	0.112	0.757
ABAT	ALDH5A1	9606.ENSP00000379845	9606.ENSP00000314649	0.053	0	0	0	0.529	0.380	0.900	0.880	0.996
ABAT	ACSS1	9606.ENSP00000379845	9606.ENSP00000316924	0	0	0	0	0.096	0	0.800	0.107	0.824
ABAT	UGDH	9606.ENSP00000379845	9606.ENSP00000319501	0.046	0	0	0	0.062	0	0	0.404	0.420
ABAT	GLUD2	9606.ENSP00000379845	9606.ENSP00000327589	0.104	0	0	0	0.053	0	0	0.613	0.643
ABAT	ALDH1A3	9606.ENSP00000379845	9606.ENSP00000332256	0.053	0	0	0	0.110	0.328	0	0.187	0.477
ABAT	NME1	9606.ENSP00000379845	9606.ENSP00000337060	0	0	0	0	0	0.583	0	0.116	0.615
ABAT	MCCC2	9606.ENSP00000379845	9606.ENSP00000343657	0	0	0	0	0.080	0	0	0.411	0.436
ABAT	GPT2	9606.ENSP00000379845	9606.ENSP00000345282	0	0	0	0	0.062	0.726	0	0.213	0.780
ABAT	ALDH3A2	9606.ENSP00000379845	9606.ENSP00000345774	0.053	0	0	0	0.110	0.200	0.900	0.117	0.929
ABAT	ALDH9A1	9606.ENSP00000379845	9606.ENSP00000346827	0.053	0	0	0	0.110	0.328	0.900	0.189	0.945
ABAT	GAD1	9606.ENSP00000379845	9606.ENSP00000350928	0.070	0	0	0	0.215	0.101	0.900	0.676	0.974
ABAT	OAT	9606.ENSP00000379845	9606.ENSP00000357838	0.055	0	0	0.581	0.134	0	0	0.728	0.402
ABAT	ACADSB	9606.ENSP00000379845	9606.ENSP00000357873	0.041	0	0	0	0	0	0	0.421	0.421
ABAT	PHGDH	9606.ENSP00000379845	9606.ENSP00000358417	0.076	0	0	0	0.048	0.788	0	0.153	0.821
ABAT	GOT1	9606.ENSP00000379845	9606.ENSP00000359539	0	0	0	0	0.074	0.245	0	0.712	0.781
ABAT	ASS1	9606.ENSP00000379845	9606.ENSP00000361471	0	0	0	0	0.064	0	0	0.493	0.505
ABAT	SGPL1	9606.ENSP00000379845	9606.ENSP00000362298	0.070	0	0	0	0.502	0.158	0	0.608	0.826
ABAT	ALDH4A1	9606.ENSP00000379845	9606.ENSP00000364490	0.053	0	0	0	0.110	0.200	0	0.361	0.511
ABAT	GAD2	9606.ENSP00000379845	9606.ENSP00000365437	0.070	0	0	0	0.273	0.101	0.900	0.675	0.976
ABAT	PCCA	9606.ENSP00000379845	9606.ENSP00000365462	0	0	0	0	0.063	0	0.800	0.250	0.847
ABAT	ALDH1B1	9606.ENSP00000379845	9606.ENSP00000366927	0.053	0	0	0	0.110	0.562	0.900	0.315	0.970
ABAT	NME2	9606.ENSP00000379845	9606.ENSP00000376889	0	0	0	0	0	0.583	0	0.232	0.666
ABAT	GPT	9606.ENSP00000379845	9606.ENSP00000378408	0	0	0	0	0.062	0.726	0	0.365	0.822
ABAT	TKT	9606.ENSP00000379845	9606.ENSP00000391481	0	0	0	0	0	0.243	0	0.243	0.402
ABAT	HADH	9606.ENSP00000379845	9606.ENSP00000474560	0	0	0	0	0.062	0	0	0.485	0.496
ABAT	MGAM	9606.ENSP00000379845	9606.ENSP00000447378	0	0	0	0	0.063	0.499	0	0	0.510
ABAT	HAGH	9606.ENSP00000379845	9606.ENSP00000380514	0	0	0	0	0.062	0	0	0.520	0.531
ABAT	PCCB	9606.ENSP00000379845	9606.ENSP00000419027	0	0	0	0	0.062	0	0.800	0.132	0.822
